,ranking,domain,org_name,time_difference_in_seconds_float,crypto_algorithm,pub_key_len,pub_key_exp,sign_alg
0,ranking,domain,,,,,,
367,367,teads.tv,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
368,368,3gppnetwork.org,,,,,,
369,369,go-mpulse.net,,,,,,
370,370,sophos.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
371,371,cpanel.net,Sectigo Limited,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
372,372,clarity.ms,,,,,,
373,373,trendmicro.com,"Entrust, Inc.",34128000.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
374,374,eventbrite.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
375,375,rocket-cdnbp.com,,,,,,
376,376,xboxlive.com,,,,,,
377,377,xcal.tv,,,,,,
378,378,wbx2.com,"GoDaddy.com, Inc.",34300800.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
379,379,inner-active.mobi,,,,,,
380,380,pv-cdn.net,,,,,,
381,381,sohu.com,DigiCert Inc,31708799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
382,382,aliexpress.com,GlobalSign nv-sa,34300476.0,,256.0,,b'sha256WithRSAEncryption'
383,383,openai.com,"DigiCert, Inc.",15551999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
384,384,amazonalexa.com,,,,,,
385,385,giphy.com,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
386,386,globo.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
387,387,hicloud.com,,,,,,
388,388,scdn.co,,,,,,
389,389,wix.com,Sectigo Limited,15638399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
390,390,usatoday.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
391,391,time.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
392,392,rackspace.net,,,,,,
393,393,telegraph.co.uk,Amazon,34041599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
394,394,azure-dns.com,,,,,,
395,395,ups.com,COMODO CA Limited,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
396,396,linktr.ee,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
397,397,avcdn.net,,,,,,
398,398,taobao.com,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
399,399,goodreads.com,Amazon,30758399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
400,400,alicdn.com,,,,,,
401,401,walmart.com,GlobalSign nv-sa,34300799.0,,256.0,,b'ecdsa-with-SHA384'
402,402,arubanetworks.com,,,,,,
403,403,hichina.com,,,,,,
404,404,hugedomains.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
405,405,netangels.ru,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
406,406,forter.com,"Cloudflare, Inc.",31535999.0,,256.0,,b'ecdsa-with-SHA256'
407,407,telecid.ru,,,,,,
408,408,tradingview.com,Amazon,34214399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
409,409,staples.com,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
410,410,g.page,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
411,411,mynetname.net,,,,,,
412,412,sfx.ms,,,,,,
413,413,statista.com,Amazon,34127999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
414,414,amazon.de,DigiCert Inc,21772799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
415,415,blogger.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
416,416,chinamobile.com,,,,,,
417,417,badoo.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
418,418,addtoany.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
419,419,independent.co.uk,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
420,420,hotjar.com,Amazon,34041599.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
421,421,pangle.io,,,,,,
422,422,wired.com,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
423,423,duckduckgo.com,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
